MFN;Columna;Antes;Despues
036414;v20_Titulo;Resúmenes ;Resúmenes
036421;v45_Editor;Messe Frankfurt ;Messe Frankfurt
036425;v20_Titulo;Précis de practique lainière ;Précis de practique lainière
036437;v20_Titulo;Innovation: applying knowledge in development.Task force on science, technology, and innovation ;Innovation: applying knowledge in development.Task force on science, technology, and innovation
036438;v20_Titulo;The growth report: strategies for sustained growth and inclusive development ;The growth report: strategies for sustained growth and inclusive development
036441;v23_Autor_institucional;^nDepartment of Commerce and Secretary of Commerce^sDC&SC^^lWashington^pUS;^nDepartment of Commerce and Secretary of Commerce^sDC&SC^lWashington^pUS
036472;v22_Autor_personal;Hawken, Paul<|>Lovins, Amory<|>Hunters Lovins, L. ;Hawken, Paul<|>Lovins, Amory<|>Hunters Lovins, L.
036479;v22_Autor_personal;Calladine, Chris R.^red.<|>Drew, Horace R.^red.<|>Luisi, Ben F.^red.<|>Travers, Andrew A^red. ;Calladine, Chris R.^red.<|>Drew, Horace R.^red.<|>Luisi, Ben F.^red.<|>Travers, Andrew A^red.
036549;v20_Titulo;"Qué es bueno, que es mejor; La medida del progreso en economía ";"Qué es bueno, que es mejor; La medida del progreso en economía"
036583;v45_Editor;National Environmental Health Forum ;National Environmental Health Forum
036602;v20_Titulo;Interim report of the Task Force 8 on improving the lives of slum dwellers ;Interim report of the Task Force 8 on improving the lives of slum dwellers
036615;v43_Lugar_de_edicion;Buenos Aires ;Buenos Aires
036619;v20_Titulo;Manual del ejercicio profesional del arquitecto ;Manual del ejercicio profesional del arquitecto
036650;v20_Titulo;La industria del calzado en Argentina: situación actual y cursos de acción ;La industria del calzado en Argentina: situación actual y cursos de acción
036666;v20_Titulo;Plan estratégico 2005-2015 para el desarrollo de la biotecnología agropecuaria ;Plan estratégico 2005-2015 para el desarrollo de la biotecnología agropecuaria
036672;v22_Autor_personal;Fuentes, Francisco<|>Belluccini, Pablo<|>Flores, Fernando<|>Distéfano, Silvia<|>Lenzi, Lisandro<|>Gadbán, Laura C<|>Martínez, Fernando<|>Cordone, Graciela<|>Murgio, Marcos<|>Salines, Luis<|>Soldini, Diego<|>Cuniberti, Martha<|>Herrero, Rosana<|>Masiero, Beatriz<|>Mir, Leticia<|>Berra, Omar<|>Macagno, Susana<|>Erazzú, L.<|>Giménez, F.<|>Ramirez, J.<|>Marinelli, A.<|>García, J.<|>March, G. J.<|>Zuza, M.<|>Oddino, C.<|>Cardetti, C.<|>Marinelli<|>Rojas, E.<|>Bologna<|>Martínez Alvarez, D.<|>Escudero,S.<|>Ávila, S.<|>Ferreira, C.<|>Supertino, M.<|>Godoy, J.<|>Scandiani<|>Toledo, Rubén<|> ;Fuentes, Francisco<|>Belluccini, Pablo<|>Flores, Fernando<|>Distéfano, Silvia<|>Lenzi, Lisandro<|>Gadbán, Laura C<|>Martínez, Fernando<|>Cordone, Graciela<|>Murgio, Marcos<|>Salines, Luis<|>Soldini, Diego<|>Cuniberti, Martha<|>Herrero, Rosana<|>Masiero, Beatriz<|>Mir, Leticia<|>Berra, Omar<|>Macagno, Susana<|>Erazzú, L.<|>Giménez, F.<|>Ramirez, J.<|>Marinelli, A.<|>García, J.<|>March, G. J.<|>Zuza, M.<|>Oddino, C.<|>Cardetti, C.<|>Marinelli<|>Rojas, E.<|>Bologna<|>Martínez Alvarez, D.<|>Escudero,S.<|>Ávila, S.<|>Ferreira, C.<|>Supertino, M.<|>Godoy, J.<|>Scandiani<|>Toledo, Rubén
037069;v20_Titulo;INJECTION MOLDS AND MOLDING ;INJECTION MOLDS AND MOLDING
037125;v20_Titulo;"THERMOPLAASTIC ELASTOMERS III; PAPERS ";"THERMOPLAASTIC ELASTOMERS III; PAPERS"
037143;v20_Titulo;ADVANCES IN POLYURETHANE TECHNOLOGY ;ADVANCES IN POLYURETHANE TECHNOLOGY
037163;v45_Editor;MACLAREN & SON ;MACLAREN & SON
037176;v22_Autor_personal;CIULLO, PETER A.<|>HEWITT, NORMAN ;CIULLO, PETER A.<|>HEWITT, NORMAN
037184;v20_Titulo;THE FORMULARY: VIII. URETHANE ;THE FORMULARY: VIII. URETHANE
037316;v20_Titulo;Procedimiento para la determinación de las características sanitarias en la construcción de viviendas ;Procedimiento para la determinación de las características sanitarias en la construcción de viviendas
